symbol,provider_symbol,asset_class,region,provider
asx/CYC,CYC.AX,stock,AU,yahoo
asx/CYG,CYG.AX,stock,AU,yahoo
asx/CYL,CYL.AX,stock,AU,yahoo
asx/CYM,CYM.AX,stock,AU,yahoo
asx/CYP,CYP.AX,stock,AU,yahoo
asx/CYQ,CYQ.AX,stock,AU,yahoo
asx/CZR,CZR.AX,stock,AU,yahoo
asx/D3E,D3E.AX,stock,AU,yahoo
asx/DAF,DAF.AX,stock,AU,yahoo
asx/DAI,DAI.AX,stock,AU,yahoo
asx/DAL,DAL.AX,stock,AU,yahoo
asx/DBF,DBF.AX,stock,AU,yahoo
asx/DBI,DBI.AX,stock,AU,yahoo
asx/DBO,DBO.AX,stock,AU,yahoo
asx/DCC,DCC.AX,stock,AU,yahoo
asx/DDR,DDR.AX,stock,AU,yahoo
asx/DDT,DDT.AX,stock,AU,yahoo
asx/DEL,DEL.AX,stock,AU,yahoo
asx/DEM,DEM.AX,stock,AU,yahoo
asx/DES,DES.AX,stock,AU,yahoo
asx/DEV,DEV.AX,stock,AU,yahoo
asx/DGH,DGH.AX,stock,AU,yahoo
asx/DGL,DGL.AX,stock,AU,yahoo
asx/DGR,DGR.AX,stock,AU,yahoo
asx/DGT,DGT.AX,stock,AU,yahoo
asx/DJW,DJW.AX,stock,AU,yahoo
asx/DKM,DKM.AX,stock,AU,yahoo
asx/DLI,DLI.AX,stock,AU,yahoo
asx/DM1,DM1.AX,stock,AU,yahoo
asx/DME,DME.AX,stock,AU,yahoo
asx/DMG,DMG.AX,stock,AU,yahoo
asx/DMP,DMP.AX,stock,AU,yahoo
asx/DNL,DNL.AX,stock,AU,yahoo
asx/DOC,DOC.AX,stock,AU,yahoo
asx/DOW,DOW.AX,stock,AU,yahoo
asx/DPM,DPM.AX,stock,AU,yahoo
asx/DRE,DRE.AX,stock,AU,yahoo
asx/DRO,DRO.AX,stock,AU,yahoo
asx/DRR,DRR.AX,stock,AU,yahoo
asx/DRX,DRX.AX,stock,AU,yahoo
asx/DSK,DSK.AX,stock,AU,yahoo
asx/DSM,DSM.AX,stock,AU,yahoo
asx/DTI,DTI.AX,stock,AU,yahoo
asx/DTL,DTL.AX,stock,AU,yahoo
asx/DTM,DTM.AX,stock,AU,yahoo
asx/DTR,DTR.AX,stock,AU,yahoo
asx/DTZ,DTZ.AX,stock,AU,yahoo
